-> Name: C157, -> Value: 47uF, -> Package: 0805, -> X,Y coordinates: (38.608,19.685), 
-> Name: C158, -> Value: 4.7uF, -> Package: 0603, -> X,Y coordinates: (65.405,23.368), 
-> Name: C159, -> Value: 22uF, -> Package: 0805, -> X,Y coordinates: (2.667,10.287), 
-> Name: C16, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (37.1348,54.5338), 
-> Name: C160, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (64.262,32.639), 
-> Name: C161, -> Value: 22uF, -> Package: 0805, -> X,Y coordinates: (1.778,18.034), 
-> Name: C162, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (7.747,10.16), 
-> Name: C163, -> Value: 1uF, -> Package: 0603, -> X,Y coordinates: (7.747,11.811), 
-> Name: C164, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (7.747,13.462), 
-> Name: C165, -> Value: 0.01uF, -> Package: 0603, -> X,Y coordinates: (1.905,21.717), 
-> Name: C166, -> Value: 2.2uF, -> Package: 0603, -> X,Y coordinates: (11.557,30.734), 
-> Name: C167, -> Value: 0.47uF, -> Package: 0603, -> X,Y coordinates: (7.239,14.986), 
-> Name: C168, -> Value: 2.2uF, -> Package: 0603, -> X,Y coordinates: (7.112,17.526), 
-> Name: C169, -> Value: 33pF, -> Package: 0603, -> X,Y coordinates: (2.159,25.4), 
-> Name: C17, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (37.5412,51.7652), 
-> Name: C170, -> Value: 33pF, -> Package: 0603, -> X,Y coordinates: (18.542,8.255), 
-> Name: C171, -> Value: 0.056uF, -> Package: 0603, -> X,Y coordinates: (13.081,29.083), 
-> Name: C172, -> Value: 100pF, -> Package: 0603, -> X,Y coordinates: (15.367,28.575), 
-> Name: C173, -> Value: 0.01uF, -> Package: 0603, -> X,Y coordinates: (16.637,27.051), 
-> Name: C174, -> Value: 47uF, -> Package: 0805, -> X,Y coordinates: (39.751,3.683), 
-> Name: C175, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (38.862,15.621), 
-> Name: C176, -> Value: 22uF, -> Package: 0603, -> X,Y coordinates: (46.482,10.922), 
